site,tree_id,scientific_name,family_name,utm_easting,utm_northing,wsd,agb_source,dbh,htot,hcom,dead,type,plot_id,htot_feldpausch,dbh_used,dead_used,type_used,htot_used,htot_source,iagc_m1_kgC,iagc_m2_kgC,rho_w_m3,iagc_m3_kgC,quadra_id
JAM_A02,1,Hymenolobium petraeum,Fabaceae,498873.2601,8990947.521,0.71,1.268348432,33.5,31.16,19.02,A,O,T01,23.61,33.5,True,O,31.16,measured,556.0313,376.6273,0.7125,376.6273,
JAM_A02,2,Dialium guianense,Fabaceae,498872.7601,8990947.525,0.89,0.581864085,23.1,24.06,19.75,A,O,T01,18.84,23.1,True,O,24.06,measured,209.1105,144.9383,0.8964,144.9383,
JAM_A02,3,Luehea sp.,Malvaceae,498873.8432,8990933.416,0.51,0.113753118,15.2,19.09,13.39,A,O,T01,14.28,15.2,True,O,19.09,measured,73.7031,51.9333,0.5766,51.9333,
JAM_A02,4,Helicostylis sp.,Moraceae,498873.6217,8990930.818,0.65,0.408770873,24.4,20.67,13.15,A,O,T01,19.5,24.4,True,O,20.67,measured,200.6402,142.8195,0.643,142.8195,
JAM_A02,5,Helicostylis sp.,Moraceae,498868.9119,8990929.657,0.65,0.079177547,12.4,15.5,11.97,A,O,T01,12.39,12.4,True,O,15.5,measured,40.4188,29.147,0.643,29.147,
JAM_A02,6,Bagassa guianensis,Moraceae,498872.2363,8990920.529,0.71,6.513891431,66.0,41.62,26.04,A,O,T01,33.31,66.0,True,O,41.62,measured,2771.0814,1852.4071,0.7087,1852.4071,
JAM_A02,7,Eschweilera parviflora,Lecythidaceae,498874.9097,8990917.306,0.89,0.121673756,9.7,28.58,20.02,A,O,T01,10.39,9.7,True,O,28.58,measured,45.4732,29.4213,0.918,29.4213,
JAM_A02,8,Brosimum rubescens ,Moraceae,498873.3098,8990917.32,0.83,0.912413417,39.2,14.14,5.87,A,O,T01,25.79,39.2,True,O,14.14,measured,349.457,270.2086,0.8251,270.2086,
JAM_A02,9,Pourouma minor,Urticaceae,498873.2771,8990901.319,0.44,0.098126942,16.3,16.32,12.6,A,O,T01,14.98,16.3,True,O,16.32,measured,72.4879,52.5339,0.436,52.5339,
JAM_A02,10,Tachigali alba,Fabaceae,498872.3191,8990894.327,0.56,3.335882431,57.1,35.88,20.43,A,O,T01,31.21,57.1,True,O,35.88,measured,1806.9675,1228.0074,0.5573,1228.0074,
JAM_A02,11,Annona exsucca,Annonaceae,498874.4008,8990892.11,0.44,0.017716276,8.1,11.99,5.96,A,O,T01,9.1,8.1,True,O,11.99,measured,13.701,10.081,0.5112,10.081,
JAM_A02,12,Cordia scabrifolia,Boraginaceae,498870.1222,8990882.645,0.47,0.933947589,35.8,30.2,18.59,A,O,T01,24.52,35.8,True,O,30.2,measured,613.9417,419.2482,0.474,419.2482,
JAM_A02,13,Protium paniculatum,Burseraceae,498873.6765,8990877.115,0.49,0.141498495,18.5,16.58,8.57,A,O,T01,16.31,18.5,True,O,16.58,measured,94.2528,68.5525,0.49,68.5525,
JAM_A02,14,Zygia racemosa,Fabaceae,498874.1115,8990857.211,0.75,0.289955175,20.7,17.73,10.46,A,O,T01,17.56,20.7,True,O,17.73,measured,125.3068,90.6659,0.748,90.6659,
JAM_A02,15,Helicostylis sp.,Moraceae,498870.4586,8990850.841,0.65,1.378565414,39.3,26.87,22.79,A,O,T01,25.82,39.3,True,O,26.87,measured,657.1737,459.1827,0.643,459.1827,
JAM_A02,16,Brosimum rubescens,Moraceae,498872.3507,8990837.825,0.83,0.385366248,20.3,22.27,13.22,A,O,T01,17.33,20.3,True,O,22.27,measured,150.6843,105.0719,0.8251,105.0719,
JAM_A02,17,Couratari sp.,Lecythidaceae,498874.0051,8990832.311,0.54,2.201997075,46.8,36.59,22.33,A,O,T01,28.32,46.8,True,O,36.59,measured,1249.1722,838.2656,0.5381,838.2656,
JAM_A02,18,Castilla ulei,Moraceae,498868.8315,8990823.454,0.82,5.71911146,59.8,38.32,28.54,A,O,T01,31.89,59.8,True,O,38.32,measured,2108.6509,1421.3594,0.5675,1421.3594,
JAM_A02,19,Parkia paraensis,Fabaceae,498873.2264,8990822.817,0.42,2.287944217,57.9,32.31,16.58,A,O,T01,31.42,57.9,True,O,32.31,measured,1676.1856,1158.922,0.415,1158.922,
JAM_A02,20,Zizyphus itacaiunensis,Rhamnaceae,498872.8015,8990819.821,0.84,0.210703499,16.6,17.94,14.38,A,O,T01,15.16,16.6,True,O,17.94,measured,82.3839,58.8711,0.6313,58.8711,
JAM_A02,21,Tachigali paniculata,Fabaceae,498872.8766,8990816.82,0.56,0.759837607,28.5,32.82,21.41,A,O,T01,21.46,28.5,True,O,32.82,measured,426.6474,284.4137,0.5545,284.4137,
JAM_A02,22,Peltogyne leicointei,Fabaceae,498873.902,8990807.811,0.76,0.178523293,16.1,17.73,12.62,A,O,T01,14.85,16.1,True,O,17.73,measured,76.7228,54.8473,0.7926,54.8473,
JAM_A02,23,Tachigali myrmecophila,Fabaceae,498873.3175,8990797.616,0.48,0.015712151,7.6,11.23,8.94,A,O,T01,8.68,7.6,True,O,11.23,measured,11.3496,8.412,0.476,8.412,
JAM_A02,24,Theobroma glaucum,Malvaceae,498873.0404,8990788.318,0.53,0.140871205,17.1,17.87,13.3,A,O,T01,15.47,17.1,True,O,17.87,measured,86.9646,62.2715,0.5297,62.2715,
JAM_A02,25,Helicostylis sp.,Moraceae,498871.2012,8990771.532,0.65,0.734957127,31.0,23.03,14.18,A,O,T01,22.56,31.0,True,O,23.03,measured,355.7932,251.8485,0.643,251.8485,
JAM_A02,26,Tachigali myrmecophila,Fabaceae,498870.2001,8990759.34,0.48,2.240886014,52.6,33.43,29.27,A,O,T01,30.02,52.6,True,O,33.43,measured,1436.7525,983.5003,0.476,983.5003,
JAM_A02,27,Brosimum rubescens ,Moraceae,498873.108,8990748.216,0.83,0.056456189,9.8,14.0,9.66,A,O,T01,10.47,9.8,True,O,14.0,measured,23.1182,16.7511,0.8251,16.7511,
JAM_A02,28,Parkia paraensis,Fabaceae,498873.0013,8990747.416,0.42,4.684458189,80.9,33.88,29.58,A,O,T01,36.18,80.9,True,O,33.88,measured,3372.8806,2352.0698,0.415,2352.0698,
JAM_A02,29,Tachigali myrmecophila,Fabaceae,498872.3773,8990744.522,0.48,1.861822028,48.4,32.8,22.13,A,O,T01,28.81,48.4,True,O,32.8,measured,1198.8689,819.8511,0.476,819.8511,
JAM_A02,30,Eschweilera sp.,Lecythidaceae,498867.565,8990743.061,0.83,0.065227579,12.2,10.4,7.31,A,O,T01,12.25,12.2,True,O,10.4,measured,26.5253,20.3569,0.8314,20.3569,
JAM_A02,31,Theobroma glaucum,Malvaceae,498873.3259,8990738.313,0.53,0.08778424,14.4,15.7,13.33,A,O,T01,13.76,14.4,True,O,15.7,measured,54.8002,39.7219,0.5297,39.7219,
JAM_A02,32,Licania canescens,Chrysobalanaceae,498872.4789,8990708.519,0.88,0.39732964,21.0,20.11,13.52,A,O,T01,17.72,21.0,True,O,20.11,measured,145.7347,103.4401,0.88,103.4401,
